pari_name,section,er2_name,status,note,summary
addhelp,1,addhelp,python,use Python,add/change help message for the symbol sym
alarm,1,alarm,python,use Python,"if code is omitted, trigger an ""e_ALARM"" exception after s seconds (wall-clock time), cancelling any previously set alar…"
alias,1,alias,python,use Python,defines the symbol newsym as an alias for the symbol sym
allocatemem,1,allocatemem,python,use Python,allocates a new stack of s bytes
apply,1,apply,python,use Python,apply function f to each entry in A
arity,1,arity,python,use Python,return the arity of the closure C
break,1,break_,python,use Python,"interrupt execution of current instruction sequence, and exit from the n innermost enclosing loops"
breakpoint,1,breakpoint,python,use Python,interrupt the program and enter the breakloop
call,1,call,python,use Python,"A being a vector, evaluates f(A[1],...,A[#A])"
dbg_x,1,dbg_x,python,use Python,"print inner structure of A, complete if n is omitted, up to level n otherwise"
default,1,default,python,use Python,returns the current value of the default key
errname,1,errname,python,use Python,returns the type of the error message E
error,1,error,python,use Python,abort script with error message str
export,1,export,python,use Python,"export the variables x,...,z to the parallel world"
exportall,1,exportall,python,use Python,declare all current dynamic variables as exported variables
extern,1,extern,python,use Python,"execute shell command str, and feeds the result to GP (as if loading from file)"
externstr,1,externstr,python,use Python,"execute shell command str, and returns the result as a vector of GP strings, one component per output line"
fileclose,1,fileclose,python,use Python,close the file descriptor n
fileextern,1,fileextern,python,use Python,execute shell command str and returns a file descriptor attached to the command output as if it were read from a file
fileflush,1,fileflush,python,use Python,flush the file descriptor n (all descriptors to output streams if n is omitted)
fileopen,1,fileopen,python,use Python,open the file pointed to by 'path' and return a file descriptor which can be used with other file functions
fileread,1,fileread,python,use Python,"read a logical line from the file attached to the descriptor n, opened for reading with fileopen"
filereadstr,1,filereadstr,python,use Python,"read a raw line from the file attached to the descriptor n, opened for reading with fileopen"
filewrite,1,filewrite,python,use Python,"write the string s to file attached to descriptor n, ending with a newline"
filewrite1,1,filewrite1,python,use Python,write the string s to file number n without ending with newline
fold,1,fold,python,use Python,"return f(...f(f(A[1],A[2]),A[3]),...,A[#A])"
for,1,for_,python,use Python,"the sequence is evaluated, X going from a up to b"
forcomposite,1,forcomposite,python,use Python,"the sequence is evaluated, n running over the composite numbers between a and b"
fordiv,1,fordiv,python,use Python,"the sequence is evaluated, X running over the divisors of n"
fordivfactored,1,fordivfactored,python,use Python,"the sequence is evaluated, X running over the [d, factor(d)], d a divisor of n"
foreach,1,foreach,python,use Python,"the sequence is evaluated, X running over the components of V"
forell,1,forell,python,use Python,execute seq for each elliptic curves E of conductor between a and b in the elldata database
forfactored,1,forfactored,python,use Python,"the sequence is evaluated, N is of the form [n, factor(n)], n going from a up to b"
forpart,1,forpart,python,use Python,evaluate seq where the Vecsmall X goes over the partitions of k
forperm,1,forperm,python,use Python,"the sequence is evaluated, p going through permutations of a"
forprime,1,forprime,python,use Python,"the sequence is evaluated, p running over the primes between a and b"
forprimestep,1,forprimestep,python,use Python,"the sequence is evaluated, p running over the primes less than b in the arithmetic progression a + k*q, k >= 0"
forsquarefree,1,forsquarefree,python,use Python,"the sequence is evaluated, N is of the form [n, factor(n)], n going through squarefree integers from a up to b"
forstep,1,forstep,python,use Python,"the sequence is evaluated, X going from a to b in steps of s (can be a positive real number, an intmod for an arithmetic…"
forsubgroup,1,forsubgroup,python,use Python,"execute seq for each subgroup H of the abelian group G, whose index is bounded by bound if not omitted"
forsubset,1,forsubset,python,use Python,"if nk is an integer n, the sequence is evaluated, s going through all subsets of {1, 2, ..., n}; if nk is a pair [n,k] o…"
forvec,1,forvec,python,use Python,"v being a two-component vectors of length n, the sequence is evaluated with X[i] going from v[i][1] to v[i][2] for i=n,.…"
getabstime,1,getabstime,python,use Python,milliseconds of CPU time since startup
getcache,1,getcache,python,use Python,returns information about various auto-growing caches
getenv,1,getenv,python,use Python,"value of the environment variable s, 0 if it is not defined"
getheap,1,getheap,python,use Python,2-component vector giving the current number of objects in the heap and the space they occupy (in long words)
getlocalbitprec,1,getlocalbitprec,python,use Python,returns the current dynamic bit precision
getlocalprec,1,getlocalprec,python,use Python,"returns the current dynamic precision, in decimal digits"
getrand,1,getrand,python,use Python,current value of random number seed
getstack,1,getstack,python,use Python,current value of stack pointer avma
gettime,1,gettime,python,use Python,milliseconds of CPU time used since the last call to gettime
getwalltime,1,getwalltime,python,use Python,time (in milliseconds) since the UNIX Epoch
global,1,global_,python,use Python,obsolete
if,1,if_,python,use Python,"if a is nonzero, seq1 is evaluated, otherwise seq2"
iferr,1,iferr,python,use Python,evaluates the expression sequence seq1
inline,1,inline,python,use Python,"declares x,...,z as inline variables"
input,1,input,python,use Python,read an expression from the input file or standard input
install,1,install,python,use Python,load from dynamic library 'lib' the function 'name'
kill,1,kill,python,use Python,restores the symbol sym to its ``undefined'' status and kill attached help messages
listcreate,1,listcreate,python,use Python,"this function is obsolete, use List()"
listinsert,1,listinsert,python,use Python,"insert x at index n in list L, shifting the remaining elements to the right"
listkill,1,listkill,python,use Python,"obsolete, retained for backward compatibility"
listpop,1,listpop,python,use Python,removes n-th element from list
